wmo,cycle,date,lat,lon,sst_proxy_c,mld_m,thermocline_depth_m,heat_content_0_300m,n_levels,year
4900809,229,2014-01-09,35.086,-142.441,18.288999557495117,82.9000015258789,82.9000015258789,3731.615966796875,44,2014 (Blob)
4900809,236,2014-03-25,35.171,-143.774,16.986000061035156,107.0,107.0,3818.14990234375,44,2014 (Blob)
4900812,228,2014-01-01,37.85,-156.635,14.920000076293945,83.19999694824219,83.19999694824219,3632.267578125,44,2014 (Blob)
4900812,229,2014-01-12,37.8,-156.596,14.454999923706055,91.0,91.0,3633.30615234375,44,2014 (Blob)
4900812,230,2014-01-23,37.848,-156.433,13.694999694824219,123.0,123.0,3565.846923828125,44,2014 (Blob)
4900812,231,2014-02-02,37.834,-156.421,13.14900016784668,122.9000015258789,122.9000015258789,3515.823974609375,44,2014 (Blob)
4900812,232,2014-02-13,37.923,-156.302,12.843000411987305,138.6999969482422,138.6999969482422,3460.87548828125,44,2014 (Blob)
4900812,233,2014-02-24,37.919,-156.289,12.770000457763672,131.10000610351562,138.89999389648438,3454.395751953125,44,2014 (Blob)
4900812,234,2014-03-06,37.91,-156.243,12.581000328063965,154.89999389648438,199.6999969482422,3459.7001953125,44,2014 (Blob)
4900812,235,2014-03-17,37.988,-156.18,12.663999557495117,138.1999969482422,179.8000030517578,3459.560546875,44,2014 (Blob)
4900812,236,2014-03-28,37.982,-156.169,12.434000015258789,99.0,220.5,3434.229248046875,44,2014 (Blob)
4900812,237,2014-04-07,38.019,-156.314,12.805000305175781,66.69999694824219,162.6999969482422,3416.49365234375,44,2014 (Blob)
4900812,238,2014-04-18,38.097,-156.334,12.737000465393066,82.5999984741211,82.5999984741211,3410.2958984375,44,2014 (Blob)
4900812,239,2014-04-29,38.127,-156.331,12.958000183105469,74.9000015258789,74.9000015258789,3445.64697265625,44,2014 (Blob)
4900812,240,2014-05-10,38.162,-156.274,13.677000045776367,23.700000762939453,231.6999969482422,3402.148193359375,44,2014 (Blob)
4900812,241,2014-05-20,38.114,-156.175,14.130000114440918,16.600000381469727,44.400001525878906,3419.984130859375,44,2014 (Blob)
4900812,242,2014-05-31,38.031,-156.221,15.305000305175781,23.799999237060547,58.400001525878906,3464.635986328125,44,2014 (Blob)
