obs_id,observed_on,lat,lon,scientific_name,common_name,rank,iconic,taxon_id,event,window
117872751,2013-12-31,-44.3227968,-72.5600119,Megaceryle torquata,Ringed Kingfisher,species,Aves,2552,chile_2016,baseline
145288717,2013-12-30,-41.2138816237,-72.5910523916,Theristicus melanopis,Black-faced Ibis,species,Aves,980018,chile_2016,baseline
248020684,2013-12-29,-37.1527243777,-72.9175836988,Troglodytes musculus,Southern House Wren,species,Aves,1578442,chile_2016,baseline
195406998,2013-12-28,-39.9526964417,-73.580386535,Chroicocephalus maculipennis,Brown-hooded Gull,species,Aves,144504,chile_2016,baseline
37323116,2013-12-28,-42.5696839068,-73.7558748388,Anairetes parulus,Tufted Tit-Tyrant,species,Aves,16433,chile_2016,baseline
195888883,2013-12-28,-39.886143,-73.4048385,Leucocarbo atriceps,Imperial Shag,species,Aves,1289591,chile_2016,baseline
195407002,2013-12-28,-39.879231,-73.3894945,Podiceps major,Great Grebe,species,Aves,4229,chile_2016,baseline
254731886,2013-12-28,-42.7058652522,-71.7078156397,Daptrius chimango,Chimango Caracara,species,Aves,1432781,chile_2016,baseline
195888882,2013-12-27,-39.8196777783,-73.2758916667,Cygnus melancoryphus,Black-necked Swan,species,Aves,72789,chile_2016,baseline
195888881,2013-12-27,-39.7844833333,-73.2681666667,Ardea cocoi,Cocoi Heron,species,Aves,4952,chile_2016,baseline
195888880,2013-12-27,-39.7844833333,-73.2681666667,Podiceps major,Great Grebe,species,Aves,4229,chile_2016,baseline
195888879,2013-12-27,-39.812775,-73.2484361117,Otaria flavescens,South American Sea Lion,species,Mammalia,41761,chile_2016,baseline
195888878,2013-12-27,-39.812775,-73.2484361117,Larus dominicanus,Kelp Gull,species,Aves,4388,chile_2016,baseline
195888877,2013-12-27,-39.812775,-73.2484361117,Coragyps atratus,Black Vulture,species,Aves,4765,chile_2016,baseline
145288715,2013-12-27,-42.6239686,-73.9265732,Vanellus chilensis,Southern Lapwing,species,Aves,4867,chile_2016,baseline
195888874,2013-12-27,-39.812775,-73.2484361117,Nannopterum brasilianum,Neotropic Cormorant,species,Aves,1289601,chile_2016,baseline
145288714,2013-12-27,-42.6239686,-73.9265732,Chroicocephalus maculipennis,Brown-hooded Gull,species,Aves,144504,chile_2016,baseline
195888875,2013-12-27,-39.812775,-73.2484361117,Chroicocephalus maculipennis,Brown-hooded Gull,species,Aves,144504,chile_2016,baseline
236578344,2013-12-25,-41.1597771374,-71.3684471025,Chloephaga poliocephala,Ashy-headed Goose,species,Aves,7114,chile_2016,baseline
37323004,2013-12-25,-41.8711529221,-73.9017504164,Larus dominicanus,Kelp Gull,species,Aves,4388,chile_2016,baseline
