obs_id,observed_on,lat,lon,scientific_name,common_name,iconic,taxon_id,event,window
33802772,2019-09-30,37.1241313696,-2.5374543497,Galerida theklae,Thekla's Lark,Aves,7359,mediterranean_2022,baseline
33824925,2019-09-30,39.160525,9.0090111167,Erinaceus europaeus,Common Hedgehog,Mammalia,43042,mediterranean_2022,baseline
33937261,2019-09-30,44.9224657785,9.5755297691,Sus scrofa,Wild Boar,Mammalia,42134,mediterranean_2022,baseline
195679980,2019-09-30,43.2287418082,5.3480326903,Scorpaena porcus,Black Scorpionfish,Actinopterygii,118631,mediterranean_2022,baseline
195679951,2019-09-30,43.2287418082,5.3480326903,Calliostoma conulus,Shining Top Shell,Mollusca,528682,mediterranean_2022,baseline
195679954,2019-09-30,43.2287418082,5.3480326903,Gaidropsarus mediterraneus,Shore Rockling,Actinopterygii,118602,mediterranean_2022,baseline
195679957,2019-09-30,43.2287418082,5.3480326903,Lima lima,Spiny File Clam,Mollusca,50576,mediterranean_2022,baseline
195679976,2019-09-30,43.2287418082,5.3480326903,Peltodoris atromaculata,Leopard Sea Slug,Mollusca,326343,mediterranean_2022,baseline
195679962,2019-09-30,43.2287418082,5.3480326903,Manupecten pesfelis,Cat's Paw Scallop,Mollusca,938598,mediterranean_2022,baseline
195679978,2019-09-30,43.2287418082,5.3480326903,Petalifera petalifera,,Mollusca,343650,mediterranean_2022,baseline
48548491,2019-09-30,42.23308,12.97726,Zebrina detrita,Zebra Snail,Mollusca,326195,mediterranean_2022,baseline
195679948,2019-09-30,43.2287418082,5.3480326903,Bothus podas,Wide-eyed Flounder,Actinopterygii,118640,mediterranean_2022,baseline
195679970,2019-09-30,43.2287418082,5.3480326903,Pagellus acarne,Axillary Seabream,Actinopterygii,118656,mediterranean_2022,baseline
195679952,2019-09-30,43.2287418082,5.3480326903,Chelidonichthys obscurus,Longfin Gurnard,Actinopterygii,118626,mediterranean_2022,baseline
195679971,2019-09-30,43.2287418082,5.3480326903,Pagellus erythrinus,Common Pandora,Actinopterygii,118659,mediterranean_2022,baseline
195679966,2019-09-30,43.2287418082,5.3480326903,Mullus barbatus,Red Mullet,Actinopterygii,118618,mediterranean_2022,baseline
195679969,2019-09-30,43.2287418082,5.3480326903,Ophisurus serpens,Giant Snake Eel,Actinopterygii,118592,mediterranean_2022,baseline
195679953,2019-09-30,43.2287418082,5.3480326903,Dalophis imberbis,Armless Snake Eel,Actinopterygii,618483,mediterranean_2022,baseline
195679946,2019-09-30,43.2287418082,5.3480326903,Apletodon incognitus,Merged Clingfish,Actinopterygii,445664,mediterranean_2022,baseline
48548191,2019-09-30,42.23308,12.97726,Zebrina detrita,Zebra Snail,Mollusca,326195,mediterranean_2022,baseline
195679984,2019-09-30,43.2287418082,5.3480326903,Symphodus tinca,East Atlantic Peacock Wrasse,Actinopterygii,52554,mediterranean_2022,baseline
146426133,2019-09-30,40.4891383333,-3.7224483333,Muscicapa striata,Spotted Flycatcher,Aves,12971,mediterranean_2022,baseline
200406421,2019-09-30,42.3052447447,1.1175029505,Gypaetus barbatus barbatus,Eurasian Bearded Vulture,Aves,718425,mediterranean_2022,baseline
200406420,2019-09-30,42.3112431071,1.1293046702,Aquila chrysaetos,Golden Eagle,Aves,5074,mediterranean_2022,baseline
35963161,2019-09-30,44.28348,19.92701,Arion vulgaris,Spanish Slug,Mollusca,54583,mediterranean_2022,baseline
254118217,2019-09-30,37.5099998653,23.4450156927,Bittium reticulatum,Small Needle-whelk,Mollusca,483170,mediterranean_2022,baseline
149423962,2019-09-30,38.5156581258,-0.1979202782,Oenanthe oenanthe,Northern Wheatear,Aves,12822,mediterranean_2022,baseline
254125284,2019-09-30,37.5099437063,23.4450361292,Rissoa splendida,,Mollusca,884037,mediterranean_2022,baseline
33705952,2019-09-30,44.0988883972,9.7375001907,Larus michahellis,Yellow-legged Gull,Aves,59202,mediterranean_2022,baseline
33745849,2019-09-30,39.1999591594,8.3831886202,Gobius incognitus,Incognito Goby,Actinopterygii,505877,mediterranean_2022,baseline
44138982,2019-09-30,31.8781632104,34.9535979356,Falco vespertinus,Red-footed Falcon,Aves,4641,mediterranean_2022,baseline
34109685,2019-09-30,43.2752697216,3.5144276024,Oenanthe oenanthe,Northern Wheatear,Aves,12822,mediterranean_2022,baseline
