obs_id,observed_on,lat,lon,scientific_name,common_name,rank,iconic,taxon_id,event,window
147654051,2010-12-29,49.7226230176,-125.3105130558,Martes caurina,Pacific Marten,species,Mammalia,453111,ne_pacific_blob,baseline
143919229,2010-11-26,50.3345927442,-126.9221230214,Anser albifrons,Greater White-fronted Goose,species,Aves,7019,ne_pacific_blob,baseline
143959085,2010-11-23,50.7430164237,-127.5906789248,Bonasa umbellus,Ruffed Grouse,species,Aves,890,ne_pacific_blob,baseline
261352579,2010-11-08,48.8877353935,-125.3551498888,Eumetopias jubatus,Steller Sea Lion,species,Mammalia,41755,ne_pacific_blob,baseline
9644238,2010-11-06,53.2522331362,-132.0911636332,Ardea herodias,Great Blue Heron,species,Aves,4956,ne_pacific_blob,baseline
9644243,2010-11-06,53.252130429,-132.0821685781,Podiceps grisegena,Red-necked Grebe,species,Aves,4224,ne_pacific_blob,baseline
40933060,2010-11-06,53.2601066528,-131.821565656,Phoca vitulina richardii,Pacific Harbor Seal,subspecies,Mammalia,117766,ne_pacific_blob,baseline
334088253,2010-10-31,48.7092258807,-125.0642958869,Eumetopias jubatus,Steller Sea Lion,species,Mammalia,41755,ne_pacific_blob,baseline
334088254,2010-10-31,49.0510615565,-126.0413009146,Sebastes caurinus,Copper Rockfish,species,Actinopterygii,68597,ne_pacific_blob,baseline
9644241,2010-10-27,52.92744996,-131.9261627195,Brachyramphus marmoratus,Marbled Murrelet,species,Aves,4531,ne_pacific_blob,baseline
14276914,2010-10-26,48.9330874737,-125.5361200049,Tamiasciurus hudsonicus,American Red Squirrel,species,Mammalia,46260,ne_pacific_blob,baseline
3924847,2010-10-25,52.5784324918,-131.5622448921,Dendronotus iris,Giant Nudibranch,species,Mollusca,47706,ne_pacific_blob,baseline
14276913,2010-10-25,48.9330874737,-125.5361200049,Oncorhynchus kisutch,Coho Salmon,species,Actinopterygii,53692,ne_pacific_blob,baseline
14276912,2010-10-25,48.9330874737,-125.5361200049,Ursus americanus,American Black Bear,species,Mammalia,41638,ne_pacific_blob,baseline
