obs_id,observed_on,lat,lon,scientific_name,common_name,iconic,taxon_id,event,window
68069390,2020-12-31,46.0051654336,-59.9484794381,Canis latrans,Coyote,Mammalia,42051,north_atlantic_2023,baseline
67314909,2020-12-30,46.205,-59.966485,Larus delawarensis,Ring-billed Gull,Aves,4364,north_atlantic_2023,baseline
67314908,2020-12-30,46.20495,-59.9664333333,Anas rubripes × platyrhynchos,American Black Duck × Mallard,Aves,518415,north_atlantic_2023,baseline
67314907,2020-12-30,46.20501,-59.9665016667,Larus glaucoides,Iceland Gull,Aves,4361,north_atlantic_2023,baseline
67314906,2020-12-30,46.2049683333,-59.9664633333,Larus glaucoides,Iceland Gull,Aves,4361,north_atlantic_2023,baseline
67314905,2020-12-30,46.20501,-59.9665016667,Larus smithsonianus,American Herring Gull,Aves,1578489,north_atlantic_2023,baseline
67314904,2020-12-30,46.20501,-59.9665016667,Larus smithsonianus,American Herring Gull,Aves,1578489,north_atlantic_2023,baseline
67314903,2020-12-30,46.20501,-59.9665016667,Branta canadensis,Canada Goose,Aves,7089,north_atlantic_2023,baseline
142448522,2020-12-30,46.1777376742,-59.9502539635,Spizelloides arborea,American Tree Sparrow,Aves,474210,north_atlantic_2023,baseline
67532333,2020-12-30,46.0475341234,-59.9897446157,Turdus migratorius,American Robin,Aves,12727,north_atlantic_2023,baseline
79174081,2020-12-30,48.153255458,-53.7428026096,Mergus serrator,Red-breasted Merganser,Aves,6996,north_atlantic_2023,baseline
67303471,2020-12-30,46.039075,-59.975575,Canis latrans,Coyote,Mammalia,42051,north_atlantic_2023,baseline
68542487,2020-12-30,47.5614505292,-52.7125770226,Mareca americana,American Wigeon,Aves,485176,north_atlantic_2023,baseline
67472383,2020-12-28,47.5655817183,-52.706617572,Cyanocitta cristata,Blue Jay,Aves,8229,north_atlantic_2023,baseline
67122693,2020-12-26,47.7303721354,-52.6337771143,Falco peregrinus,Peregrine Falcon,Aves,4647,north_atlantic_2023,baseline
67122694,2020-12-26,47.6513242582,-52.683481214,Alle alle,Dovekie,Aves,4524,north_atlantic_2023,baseline
67122695,2020-12-26,47.6651140699,-52.6694984544,Haliaeetus leucocephalus,Bald Eagle,Aves,5305,north_atlantic_2023,baseline
105249211,2020-12-25,48.9534397757,-57.9272340888,Corvus brachyrhynchos,American Crow,Aves,8021,north_atlantic_2023,baseline
67082801,2020-12-25,51.84477,-10.2106666667,Haematopus ostralegus,Eurasian Oystercatcher,Aves,4843,north_atlantic_2023,baseline
69687028,2020-12-25,47.5229479839,-52.7563231811,Nannopterum auritum,Double-crested Cormorant,Aves,1454382,north_atlantic_2023,baseline
67054506,2020-12-25,47.5268056462,-52.7487895265,Falco columbarius,Merlin,Aves,4672,north_atlantic_2023,baseline
67137371,2020-12-24,46.1794742972,-59.8447263613,Bucephala clangula,Common Goldeneye,Aves,6990,north_atlantic_2023,baseline
67018460,2020-12-24,46.1783040528,-59.9271553818,Acanthis flammea,Redpoll,Aves,145300,north_atlantic_2023,baseline
67018458,2020-12-24,46.1783040528,-59.9271553818,Acanthis flammea,Redpoll,Aves,145300,north_atlantic_2023,baseline
67018459,2020-12-24,46.1783040528,-59.9271553818,Acanthis flammea,Redpoll,Aves,145300,north_atlantic_2023,baseline
67019077,2020-12-24,47.5745083582,-52.7281272254,Falco peregrinus,Peregrine Falcon,Aves,4647,north_atlantic_2023,baseline
67019175,2020-12-24,47.5736832934,-52.7280937506,Aythya fuligula,Tufted Duck,Aves,7046,north_atlantic_2023,baseline
67019058,2020-12-24,47.5735532365,-52.7279996356,Aythya marila,Greater Scaup,Aves,7047,north_atlantic_2023,baseline
67019030,2020-12-24,47.5516470581,-52.7415449565,Gallinula galeata,Common Gallinule,Aves,144479,north_atlantic_2023,baseline
67019010,2020-12-24,47.5497366048,-52.742588389,Corvus brachyrhynchos,American Crow,Aves,8021,north_atlantic_2023,baseline
67001867,2020-12-24,47.5316026853,-53.6117538996,Cyanocitta cristata,Blue Jay,Aves,8229,north_atlantic_2023,baseline
67318309,2020-12-21,47.4631174847,-52.704810647,Nannopterum auritum,Double-crested Cormorant,Aves,1454382,north_atlantic_2023,baseline
66886212,2020-12-21,47.5731171997,-52.7122333,Anas crecca crecca,Eurasian Teal,Aves,132873,north_atlantic_2023,baseline
66887761,2020-12-20,45.9202689233,-59.9716726165,Larus smithsonianus,American Herring Gull,Aves,1578489,north_atlantic_2023,baseline
66917311,2020-12-20,45.9179617024,-59.9204517036,Histrionicus histrionicus,Harlequin Duck,Aves,7111,north_atlantic_2023,baseline
66887760,2020-12-20,45.9202689233,-59.9716726165,Sturnus vulgaris,European Starling,Aves,14850,north_atlantic_2023,baseline
66887759,2020-12-20,45.9695836069,-59.9927138329,Poecile hudsonicus,Boreal Chickadee,Aves,144821,north_atlantic_2023,baseline
66917315,2020-12-20,45.9148505672,-59.9397669585,Alle alle,Dovekie,Aves,4524,north_atlantic_2023,baseline
66917316,2020-12-20,45.9150543079,-59.9384452152,Alle alle,Dovekie,Aves,4524,north_atlantic_2023,baseline
66922634,2020-12-20,45.8935983333,-59.9886183333,Branta canadensis,Canada Goose,Aves,7089,north_atlantic_2023,baseline
66917312,2020-12-20,45.9169711843,-59.9226046243,Histrionicus histrionicus,Harlequin Duck,Aves,7111,north_atlantic_2023,baseline
66887758,2020-12-20,45.9695836069,-59.9927138329,Perisoreus canadensis,Canada Jay,Aves,8335,north_atlantic_2023,baseline
66922632,2020-12-20,45.8936366667,-59.9829766667,Bucephala albeola,Bufflehead,Aves,6993,north_atlantic_2023,baseline
66922630,2020-12-20,45.8936366667,-59.9829766667,Anas rubripes,American Black Duck,Aves,6924,north_atlantic_2023,baseline
66922636,2020-12-20,45.8936833333,-59.9829883333,Aythya marila,Greater Scaup,Aves,7047,north_atlantic_2023,baseline
66922633,2020-12-20,45.8936833333,-59.9829883333,Bucephala albeola,Bufflehead,Aves,6993,north_atlantic_2023,baseline
66922635,2020-12-20,45.8886183333,-59.9786983333,Somateria mollissima,Common Eider,Aves,7024,north_atlantic_2023,baseline
66843520,2020-12-20,45.9875966667,-59.8390233333,Bucephala albeola,Bufflehead,Aves,6993,north_atlantic_2023,baseline
