obs_id,observed_on,lat,lon,scientific_name,common_name,rank,iconic,taxon_id,event,window
277350298,2014-12-31,-33.8187961572,150.0299139593,Dasyurus maculatus maculatus,Spotted-tailed Quoll (Southern Subspecies),subspecies,Mammalia,1583005,tasman_sea_2017,baseline
13761806,2014-12-31,-33.0859708369,151.6407077408,Ceratosoma amoenum,Clown Doris,species,Mollusca,418514,tasman_sea_2017,baseline
13761807,2014-12-31,-33.0859708369,151.6407077408,Cleidopus gloriamaris,Australian Pineapplefish,species,Actinopterygii,371890,tasman_sea_2017,baseline
13761808,2014-12-31,-33.0859708369,151.6407077408,Hydatina physis,Brown-lined Paperbubble,species,Mollusca,319381,tasman_sea_2017,baseline
13761809,2014-12-31,-33.0859708369,151.6407077408,Dolabella auricularia,Blunt-end Seahare,species,Mollusca,49860,tasman_sea_2017,baseline
13761812,2014-12-31,-33.0859708369,151.6407077408,Pardachirus hedleyi,Southern Peacock Sole,species,Actinopterygii,514267,tasman_sea_2017,baseline
13761814,2014-12-31,-33.0859708369,151.6407077408,Scorpaena jacksoniensis,Eastern Red Scorpionfish,species,Actinopterygii,511182,tasman_sea_2017,baseline
13761815,2014-12-31,-33.0859708369,151.6407077408,Epinephelus daemelii,Black Rockcod,species,Actinopterygii,100093,tasman_sea_2017,baseline
13761816,2014-12-31,-33.0859708369,151.6407077408,Chironemus marmoratus,Eastern Kelpfish,species,Actinopterygii,121259,tasman_sea_2017,baseline
13761818,2014-12-31,-33.0859708369,151.6407077408,Parupeneus spilurus,Blacksaddle Goatfish,species,Actinopterygii,132377,tasman_sea_2017,baseline
13761817,2014-12-31,-33.0859708369,151.6407077408,Microcanthus joyceae,East-Australian Stripey,species,Actinopterygii,1315523,tasman_sea_2017,baseline
13761821,2014-12-31,-33.0859708369,151.6407077408,Meuschenia trachylepis,Yellowfin Leatherjacket,species,Actinopterygii,511644,tasman_sea_2017,baseline
13761820,2014-12-31,-33.0859708369,151.6407077408,Monacanthus chinensis,Fanbelly Leatherjacket,species,Actinopterygii,368999,tasman_sea_2017,baseline
13761823,2014-12-31,-33.0859708369,151.6407077408,Meuschenia trachylepis,Yellowfin Leatherjacket,species,Actinopterygii,511644,tasman_sea_2017,baseline
11000404,2014-12-31,-33.8002326247,151.2965993636,Morwong fuscus,Red Morwong,species,Actinopterygii,1316603,tasman_sea_2017,baseline
57113589,2014-12-31,-33.9847966667,150.1095908333,Acanthorhynchus tenuirostris,Eastern Spinebill,species,Aves,12238,tasman_sea_2017,baseline
125926121,2014-12-31,-34.4108170833,150.875903775,Ocyphaps lophotes,Crested Pigeon,species,Aves,3681,tasman_sea_2017,baseline
249265324,2014-12-31,-36.88315612,174.4655185836,Spirula spirula,Ram's Horn Squid,species,Mollusca,85107,tasman_sea_2017,baseline
1184671,2014-12-31,-43.53094,172.622852,Turdus merula,Eurasian Blackbird,species,Aves,12716,tasman_sea_2017,baseline
1156700,2014-12-31,-43.52998,172.622341,Passer domesticus,House Sparrow,species,Aves,13858,tasman_sea_2017,baseline
1184669,2014-12-31,-43.53094,172.622852,Tadorna variegata,Paradise Shelduck,species,Aves,7072,tasman_sea_2017,baseline
1184667,2014-12-31,-43.53094,172.622852,Chroicocephalus bulleri,Black-billed Gull,species,Aves,144505,tasman_sea_2017,baseline
1184668,2014-12-31,-43.53094,172.622852,Anas superciliosa × platyrhynchos,Pacific Black Duck × Mallard,hybrid,Aves,410743,tasman_sea_2017,baseline
259914834,2014-12-31,-44.9102534193,168.0748629719,Nestor notabilis,Kea,species,Aves,18941,tasman_sea_2017,baseline
1153475,2014-12-31,-41.8070716667,172.8486033333,Gallirallus australis,Weka,species,Aves,436,tasman_sea_2017,baseline
1156696,2014-12-31,-43.533236,172.635223,Fringilla coelebs,Common Chaffinch,species,Aves,10070,tasman_sea_2017,baseline
1184685,2014-12-31,-43.53304,172.633173,Chroicocephalus novaehollandiae scopulinus,Red-billed Gull,subspecies,Aves,979649,tasman_sea_2017,baseline
1184684,2014-12-31,-43.53304,172.633173,Aythya novaeseelandiae,New Zealand Scaup,species,Aves,7058,tasman_sea_2017,baseline
1184682,2014-12-31,-43.53304,172.633173,Anas platyrhynchos,Mallard,species,Aves,6930,tasman_sea_2017,baseline
1184681,2014-12-31,-43.53304,172.633173,Tadorna variegata,Paradise Shelduck,species,Aves,7072,tasman_sea_2017,baseline
69915520,2014-12-31,-35.5598030285,150.3795563671,Anthochaera chrysoptera,Little Wattlebird,species,Aves,12626,tasman_sea_2017,baseline
