date,sst_anom_c
1982-01-01,-0.25933748
1982-02-01,-0.07180347
1982-03-01,-0.25267082
1982-04-01,-0.4323232
1982-05-01,-0.32908258
1982-06-01,-0.15178892
1982-07-01,-0.47350392
1982-08-01,-0.6803568
1982-09-01,-0.1651783
1982-10-01,-0.45893136
1982-11-01,-0.3355669
1982-12-01,-0.2136579
1983-01-01,-0.2224712
1983-02-01,-0.3238011
1983-03-01,-0.14273897
1983-04-01,-0.26833218
1983-05-01,-0.1847325
1983-06-01,-0.16756938
1983-07-01,-0.6904828
1983-08-01,-0.603321
1983-09-01,-0.19368382
1983-10-01,0.078563474
1983-11-01,-0.40460613
1983-12-01,-0.27881503
1984-01-01,0.17889585
1984-02-01,0.20150566
1984-03-01,0.13182503
1984-04-01,0.009700984
1984-05-01,-0.14778776
1984-06-01,-0.06742979
1984-07-01,-0.30648533
1984-08-01,-0.057727747
1984-09-01,-0.1770624
1984-10-01,-0.40434885
1984-11-01,-0.39080116
1984-12-01,-0.21438622
1985-01-01,0.15354311
1985-02-01,0.26843914
1985-03-01,0.19287562
1985-04-01,0.11240878
1985-05-01,-0.009090144
1985-06-01,-0.21700941
1985-07-01,-0.27700165
1985-08-01,-0.3209647
1985-09-01,-0.16469382
1985-10-01,0.34684932
1985-11-01,0.22900282
1985-12-01,0.46171564
1986-01-01,0.4292407
1986-02-01,0.2456642
1986-03-01,0.45510635
1986-04-01,0.28791115
1986-05-01,0.079592586
1986-06-01,-0.21554734
1986-07-01,-0.4571221
1986-08-01,0.07015816
1986-09-01,0.45034552
1986-10-01,0.797733
1986-11-01,0.9747601
1986-12-01,0.74908423
1987-01-01,0.36604002
1987-02-01,0.09946982
1987-03-01,0.24482408
1987-04-01,0.09089688
1987-05-01,-0.26616687
1987-06-01,-1.0755044
1987-07-01,-1.2188753
1987-08-01,-0.97815007
1987-09-01,-0.9695153
1987-10-01,-0.89100546
1987-11-01,-0.330712
1987-12-01,-0.5668023
1988-01-01,-0.666234
1988-02-01,-0.4348154
1988-03-01,-0.26101467
1988-04-01,-0.29128334
1988-05-01,-0.6651111
1988-06-01,-0.95944357
1988-07-01,-0.8735456
1988-08-01,-0.80973464
1988-09-01,-0.7921336
1988-10-01,-0.43712586
1988-11-01,-0.4638236
1988-12-01,-0.34300417
1989-01-01,-0.26445296
1989-02-01,-0.26539555
1989-03-01,-0.31742662
1989-04-01,-0.026097665
1989-05-01,0.36478823
1989-06-01,0.1281565
1989-07-01,0.022577709
1989-08-01,0.29179037
1989-09-01,0.6857395
1989-10-01,0.6761577
1989-11-01,0.66984814
1989-12-01,0.6950349
1990-01-01,0.62462056
1990-02-01,0.08692529
1990-03-01,0.10400161
1990-04-01,0.4451025
1990-05-01,0.6299316
1990-06-01,0.38405842
1990-07-01,0.23141374
1990-08-01,0.083470665
1990-09-01,0.41381824
1990-10-01,0.23803195
1990-11-01,0.23836958
1990-12-01,0.25982842
1991-01-01,0.54593086
1991-02-01,0.62825644
1991-03-01,0.6640317
1991-04-01,0.5444419
1991-05-01,0.3872873
1991-06-01,0.7056588
1991-07-01,0.6764246
1991-08-01,0.030707318
1991-09-01,0.121778555
1991-10-01,0.7872837
1991-11-01,0.9934416
1991-12-01,0.6428268
1992-01-01,0.35794207
1992-02-01,0.3692797
1992-03-01,0.55952585
1992-04-01,0.48337534
1992-05-01,0.47540447
1992-06-01,0.60343254
1992-07-01,0.69578093
1992-08-01,0.3813545
1992-09-01,0.37180322
1992-10-01,0.17677157
1992-11-01,0.3597285
1992-12-01,0.22534165
1993-01-01,0.107667886
1993-02-01,0.11248409
1993-03-01,0.23013335
1993-04-01,0.17734817
1993-05-01,-0.001003984
1993-06-01,0.17397697
1993-07-01,0.26594773
1993-08-01,0.004941627
1993-09-01,0.13258596
1993-10-01,0.76184446
1993-11-01,0.88157153
1993-12-01,0.4361746
1994-01-01,0.6509447
1994-02-01,0.524504
1994-03-01,0.44093192
1994-04-01,0.40868077
1994-05-01,0.22323692
1994-06-01,-0.0077041304
1994-07-01,0.2231347
1994-08-01,0.6888901
1994-09-01,0.52573806
1994-10-01,0.40252453
1994-11-01,-0.13982214
1994-12-01,0.017660072
1995-01-01,-0.23421788
1995-02-01,-0.051824514
1995-03-01,0.08899718
1995-04-01,-0.10177299
1995-05-01,0.020381898
1995-06-01,-0.39081272
1995-07-01,0.12434857
1995-08-01,-0.20271972
1995-09-01,-0.07063917
1995-10-01,-0.24628048
1995-11-01,0.078001596
1995-12-01,0.40016863
1996-01-01,0.46593857
1996-02-01,0.3978154
1996-03-01,0.42379603
1996-04-01,0.3724989
1996-05-01,0.13316803
1996-06-01,0.098048754
1996-07-01,0.34519866
1996-08-01,0.25638464
1996-09-01,-0.12813585
1996-10-01,-0.11883517
1996-11-01,0.07350971
1996-12-01,0.1622946
1997-01-01,0.16664147
1997-02-01,0.41415676
1997-03-01,0.3642895
1997-04-01,0.4850554
1997-05-01,0.73452884
1997-06-01,0.65563166
1997-07-01,0.7648957
1997-08-01,0.5725553
1997-09-01,0.47374415
1997-10-01,-0.15959096
1997-11-01,0.22226487
1997-12-01,-0.1461822
1998-01-01,-0.09974774
1998-02-01,-0.18476397
1998-03-01,-0.1735737
1998-04-01,-0.14460634
1998-05-01,-0.21034503
1998-06-01,0.36370492
1998-07-01,0.3752595
1998-08-01,0.10305398
1998-09-01,-0.53831214
1998-10-01,-0.31308517
1998-11-01,-0.1503867
1998-12-01,-0.6163477
1999-01-01,-0.23924962
1999-02-01,-0.59317786
1999-03-01,-0.88458157
1999-04-01,-0.70881635
1999-05-01,-0.6599802
1999-06-01,-0.515204
1999-07-01,-0.82680345
1999-08-01,-0.47420523
1999-09-01,-0.6785691
1999-10-01,-0.4783176
1999-11-01,-0.8231494
1999-12-01,-0.56008255
2000-01-01,-0.46071255
2000-02-01,-0.56971705
2000-03-01,-0.58753777
2000-04-01,-0.287317
2000-05-01,-0.5827229
2000-06-01,-0.2789369
2000-07-01,0.24957575
2000-08-01,0.27524757
2000-09-01,0.554354
2000-10-01,0.53689486
2000-11-01,0.17203146
2000-12-01,0.12561679
2001-01-01,-0.15880384
2001-02-01,-0.36317918
2001-03-01,-0.32401183
2001-04-01,-0.28066713
2001-05-01,-0.33767524
2001-06-01,-0.19102374
2001-07-01,0.14618869
2001-08-01,-0.21015382
2001-09-01,-0.5081062
2001-10-01,-0.5428218
2001-11-01,-0.81118435
2001-12-01,-0.8622046
2002-01-01,-0.74862254
2002-02-01,-0.6937152
2002-03-01,-0.52910703
2002-04-01,-0.0013123052
2002-05-01,0.31565824
2002-06-01,0.24257824
2002-07-01,0.059807826
2002-08-01,0.53024906
2002-09-01,0.5558719
2002-10-01,1.0080807
2002-11-01,0.68712074
2002-12-01,0.3671074
2003-01-01,-0.19788033
2003-02-01,0.07604102
2003-03-01,0.12040255
2003-04-01,-0.057542264
2003-05-01,-0.04023657
2003-06-01,0.10548328
2003-07-01,0.076741025
2003-08-01,0.0049692206
2003-09-01,0.19199581
2003-10-01,0.002462566
2003-11-01,0.15361688
2003-12-01,-0.28797516
2004-01-01,-0.16794345
2004-02-01,0.005980894
2004-03-01,0.15866359
2004-04-01,0.2238025
2004-05-01,0.6140604
2004-06-01,0.55624133
2004-07-01,0.9266918
2004-08-01,0.91372865
2004-09-01,0.77415127
2004-10-01,0.49791357
2004-11-01,0.4847757
2004-12-01,0.7527272
2005-01-01,0.7980089
2005-02-01,0.8569671
2005-03-01,0.9525154
2005-04-01,0.6948144
2005-05-01,1.0047547
2005-06-01,0.80679333
2005-07-01,0.6423521
2005-08-01,0.47773492
2005-09-01,0.5388829
2005-10-01,0.31624642
2005-11-01,0.069166034
2005-12-01,0.4235451
2006-01-01,0.27134475
2006-02-01,0.0815442
2006-03-01,-0.17998353
2006-04-01,-0.30140397
2006-05-01,-0.42807993
2006-06-01,-0.21627423
2006-07-01,-0.35154563
2006-08-01,-0.4840664
2006-09-01,-0.120577134
2006-10-01,0.43087023
2006-11-01,0.06007493
2006-12-01,-0.37624756
2007-01-01,-0.5204344
2007-02-01,-0.24609342
2007-03-01,-0.36498895
2007-04-01,-0.3768178
2007-05-01,-0.40246075
2007-06-01,-0.45032507
2007-07-01,-0.79065514
2007-08-01,-0.44743347
2007-09-01,-0.3107923
2007-10-01,-0.6307288
2007-11-01,-0.49099666
2007-12-01,-0.30617318
2008-01-01,-0.5462847
2008-02-01,-0.45433554
2008-03-01,-0.40637636
2008-04-01,-0.39731884
2008-05-01,-0.3841407
2008-06-01,0.022849232
2008-07-01,-0.08407425
2008-08-01,-0.5479677
2008-09-01,-0.5206902
2008-10-01,-0.5045076
2008-11-01,-0.26123723
2008-12-01,0.121991076
2009-01-01,0.30708355
2009-02-01,0.17842709
2009-03-01,0.024666889
2009-04-01,0.13723607
2009-05-01,0.26925954
2009-06-01,0.7074242
2009-07-01,0.545762
2009-08-01,0.49148875
2009-09-01,-0.58754754
2009-10-01,-0.42296502
2009-11-01,-0.49972594
2009-12-01,-0.42626908
2010-01-01,-0.11250458
2010-02-01,-0.10803081
2010-03-01,-0.30548668
2010-04-01,-0.44760114
2010-05-01,-0.37394974
2010-06-01,-0.580693
2010-07-01,-0.11659609
2010-08-01,0.31593165
2010-09-01,0.16675794
2010-10-01,-0.66424143
2010-11-01,-0.7524516
2010-12-01,-0.629556
2011-01-01,-0.52494586
2011-02-01,-0.18680565
2011-03-01,-0.4270878
2011-04-01,-0.35005808
2011-05-01,-0.22948496
2011-06-01,-0.068765804
2011-07-01,0.09459238
2011-08-01,0.32414836
2011-09-01,-0.03192617
2011-10-01,-0.7854401
2011-11-01,-0.49281898
2011-12-01,-0.013412858
2012-01-01,-0.055648245
2012-02-01,-0.1285237
2012-03-01,-0.34315422
2012-04-01,-0.46069953
2012-05-01,-0.4559035
2012-06-01,-0.48945493
2012-07-01,-0.50003594
2012-08-01,-0.22227383
2012-09-01,-0.17678967
2012-10-01,0.006486266
2012-11-01,-0.18304239
2012-12-01,-0.44119886
2013-01-01,-0.50491863
2013-02-01,-0.2579061
2013-03-01,-0.058359038
2013-04-01,0.57307786
2013-05-01,1.1527348
2013-06-01,1.0330328
2013-07-01,1.1834793
2013-08-01,1.1512586
2013-09-01,0.6185115
2013-10-01,0.10461962
2013-11-01,0.9169534
2013-12-01,1.2059752
2014-01-01,1.6107477
2014-02-01,1.3510203
2014-03-01,1.2007065
2014-04-01,1.1638579
2014-05-01,1.5129907
2014-06-01,1.624838
2014-07-01,1.3298647
2014-08-01,1.5419488
2014-09-01,1.6364282
2014-10-01,1.0357022
2014-11-01,0.6659035
2014-12-01,0.7981571
2015-01-01,1.0532856
2015-02-01,1.344314
2015-03-01,1.5417366
2015-04-01,1.4252136
2015-05-01,1.3907316
2015-06-01,1.7414162
2015-07-01,1.795775
2015-08-01,1.5552408
2015-09-01,1.1464053
2015-10-01,1.0627197
2015-11-01,1.087093
2015-12-01,0.8494587
2016-01-01,0.48774976
2016-02-01,0.49702224
2016-03-01,0.30875736
2016-04-01,0.5431233
2016-05-01,0.68729675
2016-06-01,0.8761521
2016-07-01,1.0018287
2016-08-01,1.0586761
2016-09-01,1.5121045
2016-10-01,0.8350929
2016-11-01,-0.23775893
2016-12-01,-0.35387567
2017-01-01,-0.35274252
2017-02-01,-0.3443923
2017-03-01,-0.2758646
2017-04-01,-0.13640203
2017-05-01,0.07571776
2017-06-01,0.0062769633
2017-07-01,0.1334431
2017-08-01,0.25747243
2017-09-01,0.24353702
2017-10-01,0.17498752
2017-11-01,0.252621
2017-12-01,0.14474991
2018-01-01,0.16932511
2018-02-01,0.13903452
2018-03-01,0.09177529
2018-04-01,0.21957363
2018-05-01,0.49622062
2018-06-01,0.579462
2018-07-01,0.67438054
2018-08-01,0.29216412
2018-09-01,0.4957042
2018-10-01,1.1324733
2018-11-01,1.340995
2018-12-01,0.9472653
2019-01-01,0.63998
2019-02-01,0.4554999
2019-03-01,0.35496825
2019-04-01,0.6149053
2019-05-01,0.80394715
2019-06-01,1.3471131
2019-07-01,1.8520024
2019-08-01,1.8055931
2019-09-01,1.4929857
2019-10-01,1.2783397
2019-11-01,1.7171694
2019-12-01,1.2071962
2020-01-01,0.84911764
2020-02-01,0.74959785
2020-03-01,0.64492303
2020-04-01,1.2941862
2020-05-01,1.4099154
2020-06-01,1.2654136
2020-07-01,1.7023898
2020-08-01,1.3660923
2020-09-01,1.558691
2020-10-01,1.3271885
2020-11-01,1.4823259
2020-12-01,1.1335261
2021-01-01,0.7082129
2021-02-01,0.5304339
2021-03-01,0.38281232
2021-04-01,0.52277637
2021-05-01,0.92608285
2021-06-01,1.0863316
2021-07-01,1.2221394
2021-08-01,1.3791229
2021-09-01,1.0616902
2021-10-01,0.18661767
2021-11-01,-0.08640126
2021-12-01,0.057596758
2022-01-01,0.12676229
2022-02-01,0.51542604
2022-03-01,0.54033023
2022-04-01,0.8053991
2022-05-01,0.6352609
2022-06-01,0.8772023
2022-07-01,1.2900549
2022-08-01,1.4263169
2022-09-01,1.1374242
2022-10-01,1.348485
2022-11-01,0.82797533
2022-12-01,0.8458959
2023-01-01,0.7311576
